City,Latitude,Longitudes,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Port Lincoln,-34.73,135.87,54.28,67,36,53.44,AU,1600698584
Port Hardy,50.7,-127.42,51.8,93,90,2.39,CA,1600698585
Beringovskiy,63.05,179.32,40.03,90,100,23.96,RU,1600698585
Yanji,42.91,129.51,51.19,81,82,2.39,CN,1600698585
Kangaatsiaq,68.31,-53.46,34.43,86,100,3.89,GL,1600698585
Aitape,-3.14,142.35,78.46,84,1,6.76,PG,1600698586
Lompoc,34.64,-120.46,53.6,100,90,1.45,US,1600698577
Tuktoyaktuk,69.45,-133.04,35.6,93,90,25.52,CA,1600698586
Bar Harbor,44.39,-68.2,59.0,50,1,7.52,US,1600698586
Sitka,57.05,-135.33,50.0,87,90,7.52,US,1600698586
Coyah,9.75,-13.42,82.4,74,75,5.01,GN,1600698587
Kelamangalam,12.6,77.85,71.6,94,75,25.52,IN,1600698587
San Quintín,30.48,-115.95,68.63,87,0,20.87,MX,1600698587
Kaitangata,-46.28,169.85,48.0,63,6,13.4,NZ,1600698587
Stornoway,58.21,-6.39,57.2,87,75,46.53,GB,1600698587
Tiksi,71.69,128.87,44.76,77,84,27.11,RU,1600698588
Canchungo,12.07,-16.03,87.8,69,40,5.01,GW,1600698588
Prince Rupert,54.32,-130.32,46.4,100,1,11.16,CA,1600698588
Nueve de Julio,-35.44,-60.88,63.0,32,10,4.45,AR,1600698589
Fort Nelson,58.81,-122.7,39.2,100,75,5.01,CA,1600698589
Mumford,5.26,-0.76,77.9,82,73,38.27,GH,1600698589
Annau,37.89,58.52,77.0,27,75,12.82,TM,1600698590
Jardim,-21.48,-56.14,72.36,69,65,9.1,BR,1600698590
Pontian Kecil,1.48,103.39,78.01,94,20,5.01,MY,1600698590
Kahului,20.89,-156.47,78.8,74,75,20.51,US,1600698549
Kilis,36.72,37.12,86.0,25,0,25.52,TR,1600698591
Kushima,31.46,131.23,68.58,78,5,21.68,JP,1600698591
Sainte-Rose,-21.13,55.8,73.4,64,7,46.53,RE,1600698591
Arrondissement de Limoges,45.75,1.33,70.0,88,100,5.01,FR,1600698591
Port Elizabeth,-33.92,25.57,62.6,59,0,56.55,ZA,1600698592
Launceston,-41.45,147.17,48.99,93,40,20.51,AU,1600698302
Marsaxlokk,35.84,14.54,82.99,69,20,20.51,MT,1600698592
Waingapu,-9.66,120.26,79.3,78,99,8.46,ID,1600698592
Mozarlândia,-14.74,-50.57,99.18,21,83,14.56,BR,1600698593
Zhangjiakou,40.81,114.88,59.92,62,48,10.8,CN,1600698593
Kargasok,59.06,80.86,56.17,77,0,31.83,RU,1600698593
Coromandel,-36.77,175.5,48.0,94,0,2.26,NZ,1600698593
Fandriana,-20.23,47.38,66.69,59,0,19.62,MG,1600698593
Urucará,-2.54,-57.76,95.59,43,31,10.0,BR,1600698594
Poum,-20.23,164.02,71.89,71,0,23.02,NC,1600698594
Aksarka,66.56,67.8,42.35,91,100,23.22,RU,1600698594
Sistranda,63.73,8.83,53.6,87,75,79.57,NO,1600698594
Haines Junction,60.75,-137.51,34.38,89,2,6.2,CA,1600698595
Dois Riachos,-9.39,-37.1,92.19,33,12,21.03,BR,1600698595
Pemangkat,1.17,108.97,77.47,90,93,23.78,ID,1600698595
College,64.86,-147.8,35.01,86,75,10.51,US,1600698595
Lumberton,34.62,-79.01,60.8,67,75,31.03,US,1600698572
Shatrovo,56.52,64.63,38.98,85,100,27.18,RU,1600698596
Nexø,55.06,15.13,62.6,82,96,7.52,DK,1600698596
Puerto Ayora,-0.74,-90.35,66.85,87,100,20.42,EC,1600698596
Bitam,2.08,11.5,77.61,87,88,14.2,GA,1600698596
Nador,35.17,-2.93,86.0,42,35,25.52,MA,1600698597
Bundaberg,-24.85,152.35,73.0,88,90,23.02,AU,1600698597
Bredasdorp,-34.53,20.04,64.4,39,0,25.52,ZA,1600698597
Jaru,-10.44,-62.47,88.66,53,100,8.01,BR,1600698597
Toamasina,-18.17,49.38,77.0,78,75,7.52,MG,1600698598
Arlit,18.74,7.39,103.03,9,0,7.76,NE,1600698598
Tumen,42.97,129.84,51.44,82,73,2.59,CN,1600698598
Bam,29.11,58.36,80.17,13,0,19.3,IR,1600698598
Iquitos,-3.75,-73.25,86.0,74,100,7.52,PE,1600698599
Ouésso,1.61,16.05,83.88,69,64,7.45,CG,1600698599
Port Alfred,-33.59,26.89,62.89,56,2,45.95,ZA,1600698599
Gamba,-2.65,10.0,78.1,70,7,23.78,GA,1600698599
Ambulu,-8.35,113.61,77.13,88,100,7.7,ID,1600698599
Rovenki,49.91,38.89,65.44,28,4,19.3,RU,1600698600
Arroyo,41.39,-78.88,53.01,53,1,10.51,US,1600698600
Haicheng,40.85,122.75,58.17,72,23,12.37,CN,1600698601
Campo de Criptana,39.4,-3.12,69.01,47,99,11.21,ES,1600698601
Fécamp,49.76,0.37,75.2,47,0,10.51,FR,1600698601
Gusau,12.16,6.66,86.94,55,69,10.65,NG,1600698602
Pitimbu,-7.47,-34.81,84.2,66,75,25.52,BR,1600698602
Atbasar,51.8,68.33,47.5,70,100,23.38,KZ,1600698603
Rikitea,-23.12,-134.97,72.1,75,45,49.39,PF,1600698603
Nurlat,54.43,50.81,44.96,89,100,29.77,RU,1600698604
Vestmannaeyjar,63.44,-20.27,46.4,52,75,56.55,IS,1600698604
Barrow,71.29,-156.79,35.6,96,90,36.04,US,1600698605
Kīhei,20.79,-156.47,78.8,74,75,20.51,US,1600698480
Flinders,-34.58,150.86,68.0,76,67,2.26,AU,1600698605
Awjilah,29.11,21.29,88.61,27,0,28.16,LY,1600698606
Garoowe,8.41,48.48,92.12,29,65,30.62,SO,1600698608
Villacarrillo,38.12,-3.08,87.01,27,91,15.86,ES,1600698609
Lufilufi,-13.87,-171.6,75.2,94,20,10.51,WS,1600698609
Dongsheng,39.82,109.98,59.56,55,50,18.77,CN,1600698610
Al Bardīyah,31.76,25.09,77.58,55,20,30.71,LY,1600698610
Vaini,-21.2,-175.2,71.6,83,75,18.01,TO,1600698610
Mackenzie,55.3,-123.17,42.8,93,75,7.52,CA,1600698611
Thompson,55.74,-97.86,55.4,100,90,7.45,CA,1600698606
Nyurba,63.28,118.33,44.6,89,80,6.85,RU,1600698611
Quatre Cocos,-20.21,57.76,73.4,69,40,28.52,MU,1600698611
Denpasar,-8.65,115.22,77.0,100,75,31.03,ID,1600698545
Saint-Augustin,51.23,-58.65,55.02,50,0,25.57,CA,1600698612
Prince George,53.92,-122.75,46.0,100,75,2.1,CA,1600698607
Meiringen,46.73,8.18,66.2,72,90,5.01,CH,1600698612
Alakurtti,66.97,30.35,46.99,94,100,15.66,RU,1600698613
Bakchar,57.02,82.07,56.21,64,14,23.02,RU,1600698613
Gravataí,-29.94,-50.99,62.6,51,0,18.01,BR,1600698613
Isernia,41.6,14.24,79.0,64,85,14.85,IT,1600698613
Meulaboh,4.14,96.13,81.5,80,100,2.91,ID,1600698614
Beloha,-25.17,45.05,74.37,59,0,19.71,MG,1600698614
San Antonio,-33.59,-71.62,51.8,100,90,5.01,CL,1600698614
Yulara,-25.24,130.99,55.4,19,0,15.5,AU,1600698614
Katsuura,35.13,140.3,73.4,78,75,15.5,JP,1600698615
Mount Isa,-20.73,139.5,73.4,78,90,25.52,AU,1600698615
Tyrma,50.08,132.17,41.88,85,39,2.35,RU,1600698616
Angoche,-16.23,39.91,77.95,66,0,40.22,MZ,1600698616
Port Hawkesbury,45.62,-61.35,57.0,58,1,15.5,CA,1600698584
Victoria,48.43,-123.37,53.01,93,75,5.01,CA,1600698407
Vavozh,56.78,51.93,41.67,94,100,19.37,RU,1600698616
Vila Franca do Campo,37.72,-25.43,71.6,73,20,33.53,PT,1600698617
Lorengau,-2.02,147.27,82.02,78,16,15.97,PG,1600698617
New Norfolk,-42.78,147.06,48.99,64,92,2.26,AU,1600698617
Qujing,25.48,103.78,61.92,94,98,9.22,CN,1600698617
Palu,-0.89,119.87,77.05,83,32,3.51,ID,1600698618
Küttigen,47.42,8.05,77.0,57,6,4.45,CH,1600698618
Mazsalaca,57.86,25.05,59.0,79,100,6.71,LV,1600698618
Sørland,67.67,12.69,48.2,87,75,69.55,NO,1600698618
Qaanaaq,77.48,-69.36,17.29,85,18,12.46,GL,1600698619
Kaeo,-35.1,173.78,53.01,93,38,8.5,NZ,1600698619
Barra do Corda,-5.5,-45.25,96.66,38,87,14.52,BR,1600698619
Ereymentau,51.62,73.1,46.71,54,21,29.08,KZ,1600698619
